Edge,CO2_Emissions,CO_Emissions,HC_Emissions,NOx_Emissions,Mean_Speed,Estimated_Travel_Time,Traffic_Level,Total_Neighbours,Length,Step_Count
-36943853,4242.430626998906,34.04099818093698,0.25375313030132673,1.6055968291972027,13.749080628585789,40.99183176133364,1,14,563.6,80
-391074592#0,3664.2552761027036,148.93587485617843,0.764301504290136,1.6337097695092506,2.2239684029016646,20.04974528497004,1,10,44.59,80
-391074592#6,3843.3917965476935,72.10565227285946,0.41689545699679187,1.5565328372532514,8.284786469030895,5.471474753084666,1,12,45.33,80
-41476373#1,2591.8790404800498,20.675486393277467,0.15148171030027777,0.897378147989204,10.94689157586211,28.307579174647643,1,9,309.88,80
-49000300#6,12309.467487907099,177.68187617597755,1.1111431837273045,5.2579370643331105,20.109547408076175,6.668474296251154,1,14,134.1,80
-571710225#1,8292.66616129108,131.2041202600436,0.7965417222350039,3.566141126412108,11.783280815344769,10.39099397856602,1,11,122.44,80
-621208171#5,6054.928934800271,142.06308368986083,0.7908427502946973,2.655252091051837,6.184584562852979,20.696620556992265,1,12,128.0,80
104732120#4,8518.742700503615,135.7655657414964,0.8229331722310869,3.672518008944673,11.795176172155672,19.593603065087805,1,12,231.11,80
110603499#0,8033.726696872325,117.81618826975624,0.7292911221081607,3.4164103346112067,12.876094626984559,55.28306684763025,1,8,711.83,80
111771216#10,7866.599153032998,85.88593787059409,0.5830352421138276,3.1500377654534772,20.59633280083313,5.898622884705265,1,12,121.49,80
111771273#1,9482.801481741579,137.61507508806332,0.8654073838733465,3.7484388606326458,27.821255603668277,3.7496510396980516,1,12,104.32,80
111771273#4,12011.67497093071,181.71126704389215,1.120020462936107,5.213369130751251,16.11190870417781,23.660759690200443,1,12,381.22,80
112397233#1,3033.114662987531,17.40536564548042,0.147709745383245,1.0658300223360255,12.516224273633101,11.423572866236041,1,10,142.98,80
18651172#3,5745.317606458606,42.40066833374632,0.3333351296280392,2.1157698024858496,22.023582126603927,49.157307552263376,1,12,1082.62,80
193740494#0,5787.625527311718,46.39709980937419,0.3501439462886191,2.223952449437792,18.2817426745213,37.06594125429804,1,12,677.63,80
244599303#8,3711.9666341911325,17.130107476100324,0.16383782036580716,1.329458723857859,14.790511469611848,2.0770072801820554,1,15,30.72,80
26704742#0,7733.114590082476,143.444076831961,0.8383366909491444,3.37013981279845,9.12544961960266,6.800760793932498,1,12,62.06,80
279472120#1,3237.4491332809725,31.355309659991015,0.21617650142369044,1.1940842174491413,11.257831408939673,33.45315685762888,1,12,376.61,80
36943638#8,17162.155847208374,203.92680651413784,1.3464895204335587,7.031485712927287,19.388483469961443,22.5979510299921,2,14,438.14,80
36943848#3,4119.561139368788,44.13328372881477,0.2963467383370798,1.5932309879196427,12.017515145109389,10.908245042099905,2,12,131.09,80
49000299,7902.784829154535,141.78238636281685,0.8349568538773271,3.436663342072192,9.6497960676803,6.679933912374941,1,8,64.46,80
49000300#8,6013.303926209143,49.89742990843426,0.37534773636884877,2.2082935628615536,23.496687260562833,10.090784176114559,1,10,237.1,80
529265354#6,10718.431986035153,160.09184604337784,0.989053774714179,4.629478757645175,15.037789313846211,4.736068481450488,1,10,71.22,80
863271915#3,4526.862749140466,143.88227960868113,0.7620074316845483,1.9999620672501561,3.725830902904272,9.546863753873884,1,13,35.57,80
-104732122#4,4120.530170190395,42.88234460340231,0.2906937514070446,1.589481847174304,12.098298311509529,20.96327875786651,1,12,253.62,100
-104734419,4008.4082079958757,31.554561099688133,0.23653408673839618,1.5043447259531326,13.381314462943793,13.157152870710435,1,12,176.06,100
-111771273#3,8997.983391414818,157.1640330156786,0.9476244563646322,3.4321140702907877,31.883118165353547,12.296162438278024,1,12,392.04,100
-111771273#4,7752.464447523544,124.02190393334664,0.7503686291041626,3.3236788323638655,11.292919576720646,33.72467123427396,1,12,380.85,100
-112397211#2,5466.067507688802,63.61747420007758,0.41870617445986974,2.199918624947349,13.071453190857529,24.936018607936937,1,11,325.95,100
-18651172#3,6289.61866974891,53.36552647792972,0.39584244100838023,2.40287192955535,20.725890536183613,52.130449985429195,1,12,1080.45,100
-193740490#4,5697.592738083739,98.07901348432691,0.5811460602657779,2.4006252092180187,9.474515003334442,29.741891790854456,1,12,281.79,100
-193740494#0,3439.0918794582894,0.0,0.06218877692556776,1.088287170559998,19.43369886896579,34.84205475064223,1,12,677.11,100
-244599303#13,7471.891073612635,146.56642871788483,0.8461454449572645,3.2681112802146965,8.30746315379098,44.67428782162466,1,11,371.13,100
-244599306#0,5215.090537043535,100.07021155286579,0.5783258589063567,2.2031222688652745,9.894586336070581,27.17647720347122,2,14,268.9,100
-26704762#1,24368.267905875226,450.4795110855445,2.6613224409690757,10.749144819322506,28.884671108657503,7.631729617787764,1,12,220.44,100
-36943638#3,12064.841297864497,172.91287402220436,1.0831727947666947,5.148918578753441,18.924895573049184,4.303326255389126,2,12,81.44,100
-36943638#6,4319.213762643102,15.91317942692522,0.1748911609666944,1.5284938147234086,18.38875862241011,6.759564500918372,1,12,124.3,100
-36943638#8,9092.838981134233,128.2819667608553,0.8006132616403201,3.506594245378291,13.821248598215636,31.71999959950073,2,14,438.41,100
-36943849#0,8472.226275385117,153.82466480112586,0.9205192490662927,3.1670923095124626,32.68765852946228,9.586798629750461,1,12,313.37,100
-36943849#4,13760.224872617679,246.6017829459804,1.4718531021375196,5.700649735052635,30.875874490485756,12.60207221401613,1,12,389.1,100
-36943853,3837.004907436679,24.19119236629596,0.19888275725909516,1.4081422190337574,13.996122213998596,40.26829655976427,1,14,563.6,100
-37948400#1,7433.501769583632,125.72863270411409,0.750177797781703,3.1976132585907733,10.335224217565282,3.4648498422645675,1,12,35.81,100
-391074592#2,9002.51466056039,109.18911906087428,0.7180128565206936,3.6652936627758237,21.483199141130378,1.9694459713402714,1,10,42.31,100
-391074592#3,5305.374733550737,33.32392369796417,0.28104760538147316,1.9087928706921309,21.99694937775737,6.893683182875059,1,11,151.64,100
-49000118,2338.460387259939,1.832732366981844,0.05955964760705991,0.7335705110742963,12.694167483229958,43.3608584987683,1,16,550.43,100
-49000300#3,6592.917329702731,68.71869540643848,0.4776864172970533,2.4287364639019273,25.840692461097465,15.470947638181874,1,12,399.78,100
-49000300#5,6188.544154341051,66.59388310013823,0.4594405101489792,2.2072332731022177,27.220300310906488,7.95876597706741,1,12,216.64,100
-49000300#8,4383.783988942326,17.206988310616868,0.18634352422705255,1.4301625314818265,23.900159738715086,9.912904457128839,1,10,236.92,100
-49012331,5059.996176227499,48.13410854285736,0.33836042823388107,1.980020146078768,14.205940345611568,48.58390104483348,1,11,690.18,100
-571710225#1,5594.08976500083,106.22531210033308,0.615754807106418,2.377938651443481,8.46499168963637,14.464278819068708,1,11,122.44,100
-571710226#1,11438.234928686978,161.0307371762681,1.0130501615235332,4.870477336620989,19.111369016603565,10.308523676605363,1,11,197.01,100
-63664868#1,5228.610657721522,147.68753198550488,0.7964734397007481,2.3109883964289155,4.472654478182085,3.841119425568243,1,12,17.18,100
110603499#0,5653.389904433446,65.1491838814725,0.4415091129845125,1.918292220529865,28.880953626229136,24.647039332992435,1,8,711.83,100
111771212#4,4059.0827750003327,151.71233340580363,0.786580676982146,1.8107020026229548,2.565430928277783,54.98881238432042,1,14,141.07,100
111771273#4,8221.923750055605,115.26242462920341,0.7330115692077888,3.1399189429165504,28.439729214951395,13.404487684066423,1,12,381.22,100
112397233#1,3187.0872687635783,16.376774613650692,0.14695450341889915,1.1233506743023252,13.45211554662028,10.628811468685488,2,10,142.98,100
113080990#4,8197.19537498376,112.23645351671735,0.7082558565618501,3.458266775898926,14.290360202820409,4.201433634132626,1,12,60.04,100
113080996#0,7812.586104011963,99.8608098826093,0.6512538429726359,2.9743049217707935,27.18683468290506,9.961806998087072,1,10,270.83,100
18651172#1,5306.425467029233,33.80576416682035,0.2836650907552402,1.8976615022223942,22.499425796047504,15.49861774966978,1,14,348.71,100
26439678#2,9851.434033648115,160.1620089909588,0.9671948853530095,4.291326461789115,12.192569301661386,4.03852533307237,1,10,49.24,100
26439678#3,11656.826516031764,166.28670548093484,1.0421869989379784,4.983233941081128,18.708167081177038,15.473455990846709,1,12,289.48,100
26704730#3,5156.972917801241,94.2848848573173,0.5504873495186285,2.1643897214811467,8.745486768737418,19.64441826315892,1,10,171.8,100
279472120#2,4281.87641728892,52.65167343603931,0.3391130946500816,1.6862789929362125,11.28284423138888,58.59426811555118,1,12,661.11,100
31671458#2,13586.560334559343,204.57895982424387,1.2673042930689622,5.79915245802422,22.743616144898965,13.501810707831225,1,12,307.08,100
32446372#1,13694.463527178765,209.83586917199497,1.2907724455503782,5.9611577067245385,18.02211637417786,15.31285195757645,1,12,275.97,100
32446372#3,8791.233057297808,110.03824688127266,0.714255826568482,3.65742077474537,17.609215133045648,2.4180521209087793,1,12,42.58,100
36943848#3,5917.799573464418,23.482358497011738,0.24034729550715936,2.031736117250439,13.111528109527125,9.99807184219413,2,12,131.09,100
37948285#10,3002.403914882038,12.914411921277633,0.12658846477169064,1.0374691044616784,13.068577300743732,14.096408182818497,1,10,184.22,100
49000030#11,2785.8411674739314,3.1480981266899732,0.07690953588086098,0.9146046434066127,13.89672666714531,27.700767901703077,1,12,384.95,100
49000030#2,7775.808293058365,119.62966794692346,0.7310019912662923,3.3192167566688098,11.903252180921845,19.55263960323619,1,12,232.74,100
49000030#8,3169.704484062906,3.7066530358337797,0.08937235398344653,1.0627330415618441,15.230716979210593,14.632272420543057,1,12,222.86,100
529265354#3,5558.327635551811,125.72217211475356,0.7039636891029375,2.4077762534322287,6.681885015461976,1.8632466693441332,1,12,12.45,100
621208171#4,12571.242475715242,200.2424643488773,1.2271515771035286,5.209604169222856,27.647052399603442,25.012431343672603,1,12,691.52,100
621208171#5,12142.706857781277,173.84175395030027,1.0904705940694177,5.146911573300104,21.48900144338336,5.956535501998036,1,12,128.0,100
621208171#8,19444.003733724967,334.3536633733515,2.006973780152237,8.486888423607382,26.10235116889775,15.253798304362231,1,12,398.16,100
63664874#1,6018.980310445812,95.59420663351659,0.5777998941844372,2.5272652506152133,10.447757758060012,6.030959126267107,1,12,63.01,100
63664903,7844.477553858749,149.83568679380923,0.8702450278030028,3.433084347390631,8.72430207087481,9.81511177677662,1,12,85.63,100
66974322#7,4765.209327979004,56.5479539978422,0.36893915653352305,1.8949923649745044,12.046528824338802,6.781206536023353,1,12,81.69,100
863271915#8,4351.08793811074,102.0272839895846,0.5660829585840982,1.840643314586322,7.904943530869026,13.147468997615283,3,12,103.93,100
-104732122#1,2539.392412023493,12.447535854958684,0.11277493822459954,0.8503668180850252,11.822553901976312,41.79469208572614,1,12,494.12,120
-111771212#4,8954.225352997633,122.51446593328342,0.7741721446686801,3.790832701920357,15.288649274760088,9.19047833950687,1,14,140.51,120
-111771216#10,6881.885308690643,65.5515733644757,0.4660692247739997,2.681824020803764,20.748018182026925,5.855499013647545,1,12,121.49,120
-111771263#2,11522.090295906759,176.1442590879443,1.0821563757958974,5.0063004777940945,15.135147608520334,4.278782187994212,1,12,64.76,120
-111771273#3,6327.303248235375,62.69047676438965,0.4434859205850916,2.30665306169235,25.223793927155015,15.542467605475641,2,12,392.04,120
-112397165,4458.369161255633,39.15752283036737,0.282394655916448,1.7101736120474051,13.64144335758013,11.40568456882119,1,10,155.59,120
-113080956#0,5037.522495174164,107.29506426613077,0.6069689479562028,2.1448721570119385,7.333727599214764,5.227900747786861,1,14,38.34,120
-113080996#3,10118.169849490996,156.6578400691769,0.9580880954096782,4.384683279182167,13.48767167482647,2.0262948757129813,1,12,27.33,120
-18649875#7,5392.0204303184355,36.5839433145605,0.29607565747444065,2.017941578795155,19.09147502237937,6.720276974388016,1,13,128.3,120
-193740490#0,3401.369869802889,0.0,0.062148207178979176,1.0852667059162697,18.812481296796612,22.887464614958443,1,12,430.57,120
-193740490#3,4243.567058269928,11.28900810669939,0.15330575982700242,1.4401884095350412,20.60740656964478,18.835946128794745,1,12,388.16,120
-193740491#2,7473.0118502717305,128.58360861269247,0.764160896795215,3.2219895472563262,10.111681570857762,11.095088310863714,1,13,112.19,120
-244599306#2,5379.247947189096,39.88540672511183,0.3099858204046402,2.0481789244164306,17.577636246867918,8.401584714003537,1,11,147.68,120
-26704730#1,7008.970048509066,68.19890753250917,0.4819255071730246,2.7209716584432964,21.63928270905983,4.84858954941573,1,11,104.92,120
-26704742#2,4284.794761483484,33.78361163754072,0.2536776955650877,1.620984650984782,13.933981136615305,10.13206481448517,1,9,141.18,120
-31899386#4,4604.671182458473,145.10877024566736,0.7695152373397344,2.0359807662204803,3.751632005651482,50.068876616106444,1,12,187.84,120
-36943638#8,6453.640480340046,57.0790756369249,0.4178758349614867,2.4471703299379852,22.145861051123703,19.796475693039476,1,14,438.41,120
-36943849#0,14175.320986617015,255.0116138389573,1.5204427345509821,5.896878138621567,25.59394503179213,12.243911581850314,2,12,313.37,120
-36943849#8,6159.878454666567,56.309666551237,0.4094246463832348,2.2468465911547697,24.842839394615417,3.2427855254524993,1,12,80.56,120
-36943851,3524.075179737488,27.128363050954995,0.2041955186042227,1.2961515209593635,12.569740624243378,22.9312607647662,1,13,288.24,120
-37948285#10,2773.869202024782,8.570669978762217,0.10111868057230936,0.9309672562666909,13.015255103960222,14.16645302203087,1,10,184.38,120
-37948388#3,2651.8995676065747,9.609194988315231,0.10273271671701241,0.8861297790260173,12.508969760345154,10.898579388382686,1,12,136.33,120
-391074592#3,4877.7198063983815,24.637358898747014,0.22954846429749134,1.7500911074528371,20.154050605368326,7.524045809412052,1,11,151.64,120
-49000300#1,9335.929389742536,127.81671515432113,0.8156323650023476,3.7090578956277707,26.468461382879727,11.750210769756597,1,12,311.01,120
-49000300#3,8511.132535332683,113.23663653442091,0.7292995844090436,3.3084165559457106,26.983932000478266,14.8154835252666,1,12,399.78,120
-49000300#7,9240.872199620533,146.74230271226654,0.9036331062033851,3.58694016285417,29.997634916262843,6.901544090989696,1,14,207.03,120
-571710224#0,3134.1284283418563,19.74309070100544,0.1608603082840708,1.114393217330657,12.480543286992011,0.8228808445145191,1,8,10.27,120
-63664874#1,5240.282301987945,100.29316311370064,0.5799637110074118,2.214291093804332,8.338092851362443,7.38778052704637,1,12,61.6,120
-63664885#0,6648.759931570304,115.8428858553335,0.685668757205861,2.844604953958522,9.662426879142823,2.630809041864136,1,12,25.42,120
110603499#3,8841.35016759075,122.5251087029816,0.7712700240644398,3.7488674628287386,14.830128385778517,5.794959946699647,1,12,85.94,120
111771273#4,8856.581911269623,148.6538808433274,0.904453570518477,3.379036855169569,31.23944277582127,12.203162608747203,1,12,381.22,120
111771273#5,12712.092619652278,186.1661623650431,1.1596536889093432,5.452734133329063,19.905724807153693,4.340459884633273,1,12,86.4,120
113080990#3,2624.722222222222,164.7777777777778,0.8119444444444445,1.2044444444444444,0.0,27079.999999999996,1,12,27.08,120
113080990#4,4568.462945026456,117.00441006118682,0.6399126357290277,1.9654310978883722,5.74763360687066,10.446038162249733,1,12,60.04,120
18651172#1,10653.329504863697,69.9690615955453,0.5799340788251148,3.7906584648910036,21.54241024350883,16.1871395103096,3,14,348.71,120
18651172#2,5564.557181018874,106.17318489597122,0.6147897025694187,2.365364532942962,8.41266689276498,28.47729537538611,1,14,239.57,120
24327852#2,3256.252221533991,26.229473469605168,0.19336379231746298,1.1854375947801472,11.94871454698883,49.53922011210578,1,12,591.93,120
24802964#0,18848.698417232346,313.1948380845906,1.8928541030263568,8.277654762691062,22.940307188989877,5.020421001828408,1,12,115.17,120
26704742#0,6324.986283780249,101.97810385054086,0.6144754462530533,2.67189901428825,10.438396570701899,5.945357563266727,1,12,62.06,120
31671458#0,12776.413283678787,203.5182513627652,1.2469657150428415,5.310320521448467,27.469910808958517,15.068487221480483,1,12,413.93,120
36943638#10,7392.080654091279,147.3725184716411,0.8478632512007203,3.2363476904372894,8.081272732395004,8.52835961391623,1,12,68.92,120
37948370#2,3916.093186240473,35.279406596877216,0.2510542418158664,1.4814126193801662,12.558581516737387,11.736994325637285,1,12,147.4,120
391074592#3,8060.465386864695,90.1018630615432,0.6081293529326097,3.2070847152500144,22.072196059311647,6.878336871964824,1,11,151.82,120
49000300#0,4848.137129491627,129.71981588365338,0.7049327025091255,2.111550481361156,5.216325413071939,23.468627876094452,1,10,122.42,120
49000301#0,6307.5052307313945,115.67427378164302,0.6764623854363583,2.701488243544909,8.9691568142715,4.692748813693104,1,8,42.09,120
529265354#6,14624.851275241785,229.27981039457046,1.4023825051088985,6.402786034035721,17.913549011028895,3.9757615844940464,1,10,71.22,120
621208171#0,33303.55152575339,464.4676969608333,2.938528961927326,13.837279401458757,23.356038977375842,7.951690788831972,3,10,185.72,120
621208171#4,6554.56059904057,59.91455740978539,0.4338441022153273,2.479092155736854,22.383048174381607,30.894809081073923,2,12,691.52,120
-111771212#3,3381.9398192539443,7.259520072777516,0.11088167645790717,1.1587642159323557,15.398126963574601,33.00985900443588,1,12,508.29,140
