Edge,CO2_Emissions,CO_Emissions,HC_Emissions,NOx_Emissions,Mean_Speed,Estimated_Travel_Time,Traffic_Level,Total_Neighbours,Length,Step_Count
-115680364#17,8664.807984309442,132.63225903463976,0.8124009843722473,3.7207166810462953,12.616539008263498,11.538029558237445,1,12,145.57,20
-53051453#12,3926.6279189893885,129.04253081840054,0.679441030675926,1.7121097587563139,3.8971097674453627,56.80876680697803,1,12,221.39,20
-664291829#2,11818.125864781561,188.42509346182533,1.1451168368685227,5.173823304013059,14.010064766486678,18.87714328292299,1,11,264.47,20
110333984#0,5957.961894711269,132.5679690554882,0.7450431334548915,2.593324624892501,6.796626171912067,11.593987664887493,1,10,78.8,20
159506886#2,3284.987490129012,13.576131683558732,0.13679523155934797,1.1507559711675077,13.871783497203952,3.5121655416421533,1,12,48.72,20
18644360#0,6632.462935019148,120.08299639835555,0.7045972699912025,2.8489701721148037,9.195363514304006,9.147001080398969,1,12,84.11,20
52363372#0,6757.800722312678,129.94110684823704,0.7526690164980043,2.9264588874866617,8.487928666570223,6.707172295664933,1,12,56.93,20
52593798#3,3044.165768210963,147.6003931904037,0.7432006601581269,1.3605373149920825,1.5145738587714732,11.105433982363412,1,12,16.82,20
52593807#8,6868.9286817043385,102.28356242741569,0.6294563806968662,2.8955900176509397,11.733384749991819,4.205095209209295,1,12,49.34,20
53050696#1,2624.722222222222,164.7777777777778,0.8119444444444445,1.2044444444444444,0.0,250419.99999999997,1,10,250.42,20
53051453#4,10957.593516305767,152.78805781363025,0.9672129915033537,4.529808451061707,24.001889664036085,9.140946945054257,1,12,219.4,20
60124984#0,14075.488853381834,215.04509602246463,1.3246621111923624,6.110804727173189,19.284057621867397,19.139125553196706,1,10,369.08,20
-109775545#0,4095.6301656051955,47.456916760718144,0.31084106482356955,1.5941694038344976,11.44918075098598,9.094100465750216,1,11,104.12,40
-115680364#20,3613.9143632520177,0.0,0.08156426463167721,1.164869776731454,19.68307914766955,19.837851439327835,1,10,390.47,40
-194678399#0,5116.861789527427,42.04493892098513,0.3124711759386872,1.9725676715799196,15.595670474722185,17.343916084814456,1,10,270.49,40
-21620494#0,4299.095775091023,34.9146512836916,0.25915083272255224,1.6311519440699933,13.796591950686931,12.61108544935527,1,11,173.99,40
-21620494#6,5950.597742788447,119.53976107577834,0.6853202850037678,2.5605410880944075,7.913452020357362,6.245062189404448,1,11,49.42,40
-24802963#5,8100.256176665356,127.96926653232744,0.7770200760021565,3.4776882220492507,11.690938132535667,34.20170353029453,1,11,399.85,40
-32446372#2,9553.78905649957,231.6619628176715,1.2848451700161156,3.9228690561604593,10.0691678679956,3.7987250288651873,2,12,38.25,40
-52593798#0,5115.1784658283605,104.13171087052505,0.5944192325235395,2.1705428525815127,7.752471140190028,33.3596856180829,1,11,258.62,40
-52593798#1,3570.378775986241,27.740989017005514,0.20814338761819773,1.3168025921975677,12.61737501150572,12.214109500547291,1,11,154.11,40
-52593807#3,5893.955420325574,123.78033956015975,0.7033044419001445,2.5463786918533553,7.433431128947307,1.951992256105674,1,12,14.51,40
-53050743#5,2357.3500295907797,10.260329298170047,0.098271467879709,0.769485009468865,11.624469846278679,13.521476856883737,1,10,157.18,40
110468309#8,7901.047730184105,102.83147741745198,0.6582406644067161,3.3035994843615826,14.89375738420058,10.147875791258057,1,12,151.14,40
111456083#4,2825.524878662725,16.26255920183984,0.13728915685591284,0.978552023241762,12.092737141308875,5.815060658168644,1,13,70.32,40
193740489#0,4177.159503894869,135.29828599717845,0.7141864547050282,1.8323761796691684,3.8211460547521714,38.17441100388944,1,11,145.87,40
21619731#1,4047.7550665534427,38.810121259393604,0.27038750049154986,1.5463948793961853,12.445140388877022,17.022708734514815,1,12,211.85,40
283420492#4,4986.685384922697,46.98404675606554,0.3312854343211715,1.9469567589974304,14.144318845939882,1.78234104268913,1,12,25.21,40
53050698#2,5354.883802003452,54.23892352910267,0.3734874049684991,2.119311470583425,14.200154440639574,3.0056011135944867,1,11,42.68,40
53050743#0,5234.052419785346,124.26043667316497,0.6893539756170353,2.2659928419653754,6.256894486187958,10.58991807297828,1,10,66.26,40
53051453#12,7703.245079075123,151.23928507273203,0.8731731089626538,3.377060399170831,8.315879974870358,26.63097599643416,1,12,221.46,40
53051453#5,10804.88223200746,174.00974521522207,1.0540747812942612,4.7208860893699525,13.001341390458181,5.284839305152541,1,12,68.71,40
60124984#0,3671.9749159945186,148.9803434524708,0.7646920329708579,1.6371547341039083,2.2312064336612822,165.4172354614274,1,10,369.08,40
-110468309#5,18773.734212811883,316.8481533381892,1.9095926845434985,8.192962804739295,25.10627372317379,19.214320903174546,1,12,482.4,60
-110559718#2,5598.65959200384,39.909722039575996,0.3167409804963501,2.1003080054130043,19.7294497811344,12.458026084185487,1,11,245.79,60
-115680364#19,7452.006609502277,78.25694162360593,0.5373308282253632,2.9784354535466173,19.577672566222088,10.115094086396498,1,10,198.03,60
-115680364#9,6254.89904871552,52.98597468061246,0.3942963728038292,2.3534289270909086,22.1442151200878,2.478299623734075,1,11,54.88,60
-21621071#3,4898.265535008097,65.54385269352089,0.413137993358775,1.9777541174476452,11.2584041978413,32.54812969588191,1,10,366.44,60
-24802963#5,2536.138493523177,0.0,0.006882105070553152,0.7553986717870598,15.571650104061352,25.67807504843127,1,11,399.85,60
