Edge,CO2_Emissions,CO_Emissions,HC_Emissions,NOx_Emissions,Mean_Speed,Estimated_Travel_Time,Traffic_Level,Total_Neighbours,Length,Step_Count
-134801042#0,10008.839082867567,159.63308458830227,0.9687735254837571,4.352544908724107,12.711050438298845,7.575298396258018,1,12,96.29,20
-18750842#0,2565.381356311305,6.216230980676869,0.08516719962453616,0.8396192913307332,12.735070693480107,7.763600405502094,1,12,98.87,20
-23642655#6,3602.6107305587448,28.26658901320657,0.2113409198575071,1.331524720174879,12.636745883960499,8.643047901962655,1,11,109.22,20
-5002882#1,9475.461985132753,124.7670073666331,0.798231077483506,3.985364468820847,17.398729777592234,13.652720804131746,1,11,237.54,20
-658931586#2,4545.159867132046,142.23059710636844,0.7548814024834994,2.004822089789452,3.8656815147958694,42.4659919270842,1,11,164.16,20
109707982#1,4078.113472185679,113.84920207860944,0.6135244840582992,1.7481672794126715,5.2176159774685615,11.455423369237439,1,12,59.77,20
18641531#5,6014.559130524169,49.61426532710643,0.3708144548135496,2.314563232811968,18.9710978474748,10.66727933338539,1,11,202.37,20
23642655#3,2205.6091743939064,17.387477605952693,0.12689392889987125,0.7287295033377486,10.413843160303658,26.29864842251131,1,12,273.87,20
435994427#0,3163.6022437426254,147.37723610867562,0.7450592558315616,1.4123913181410628,1.6787030236097054,7.267515354661368,1,14,12.2,20
438251112#4,5713.214402941243,108.61522799744314,0.6295977350361789,2.4339958977104557,8.470902291033417,5.594445357983064,1,11,47.39,20
5002884#2,2624.722222222222,164.7777777777778,0.8119444444444445,1.2044444444444444,0.0,176910.0,1,11,176.91,20
72704246#6,2233.6092329148823,37.691843268473626,0.22016163941819894,0.7938371170165258,8.403558736923884,9.59712456648121,1,11,80.65,20
-134771957#0,11963.35361318617,188.29440319528018,1.1482754545620144,5.228871552313096,14.553620001890684,4.509530961470335,1,8,65.63,40
-23453731#1,7017.000190279099,142.81101777502482,0.8178131480278567,3.0668365122712666,7.795034428010695,10.23087206817537,1,12,79.75,40
-23642660#0,2669.749572236518,5.980683455719426,0.08674906473122276,0.8801851687714444,13.081164657030115,18.078665485867493,1,12,236.49,40
-23642661,9686.869615070595,161.2102191939574,0.9678155871134507,4.2281963385665815,11.61844099899754,6.83998825719017,1,10,79.47,40
-35013311#2,2624.722222222222,164.7777777777778,0.8119444444444445,1.2044444444444444,0.0,209729.99999999997,1,11,209.73,40
-5002884#2,7219.427792752751,132.23209216068562,0.7745091844606147,3.126106477947609,9.188907419914774,19.25256093195472,1,11,176.91,40
-8314670#3,7597.6587183628635,100.87852654170622,0.6516918277925197,2.8509483295184745,28.183769985945723,1.8815793638127276,1,12,53.03,40
107583483#0,10740.546708818993,165.1616597402636,1.012446940672395,4.660805050538292,14.193024754254672,22.327164609855643,1,14,316.89,40
134772098#2,7856.534089827682,99.44745354831562,0.6501678434513884,3.000960450248991,26.919522213740336,12.862041058933476,1,10,346.24,40
18641529#1,3303.3833678545234,23.822590408383064,0.18363192727669797,1.1963165639232018,12.398841621271385,17.189509029162476,1,12,213.13,40
18641975#5,3395.739686837766,131.31801063288918,0.6770086341431082,1.485755116120235,3.004377974849194,10.541283508640317,1,11,31.67,40
23453729#3,5543.521511911852,57.804890629287925,0.4043366294565819,1.8846158969413616,28.04930184032936,3.421475534268524,1,12,95.97,40
23642655#3,5221.862561400687,70.938608680066,0.44575763650892436,2.1265220725492653,11.412921212072833,23.996485642106638,1,12,273.87,40
28497211#3,7954.209681196383,103.6164341724839,0.6631546879722535,3.3272179232982597,14.953229497670797,2.4509755572004575,1,6,36.65,40
35013311#10,2165.2279739237406,10.204621593637155,0.09320721728582756,0.6909670564897644,11.146648478177703,28.399567871880397,1,12,316.56,40
35013311#7,7818.247746069894,150.1008818374624,0.870808726607428,3.422714335505339,8.647008567619173,6.981605202297376,1,12,60.37,40
5002882#1,16411.6326582324,262.4727492713688,1.5989969126633796,7.201439028460933,19.778234588539096,12.06477751751783,1,11,238.62,40
